address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE,AREA_NAME,Esta.
21 ST CLAIR AVE W,0,1,1,2,2,1,2,1,0,1,0,1,1,4,0.66667,2,0.33333,0,43.6877,-79.39494,Yonge-St.Clair (97),"180Secondi (2015), Mary Be Kitchen (2018), Union Social Eatery (2013)"
30 ST CLAIR AVE W,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.688109999999995,-79.39534,Yonge-St.Clair (97),The Sandwich Board (2013)
40 ST CLAIR AVE W,1,1,2,2,2,2,1,0,1,0,0,0,1,2,0.33333,2,0.16667,0,43.688140000000004,-79.39576,Yonge-St.Clair (97),"Daeco Sushi (2012), Presse Cafe St. Clair (2014)"
45 ST CLAIR AVE W,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.687470000000005,-79.39545,Yonge-St.Clair (97),St Clair Coffee Shop (2012)
49 ST CLAIR AVE W,1,1,1,1,2,1,1,0,0,0,1,1,0,2,0.33333,2,0.16667,0,43.68737,-79.39594,Yonge-St.Clair (97),"Raiders E  Sports Centre (2016), The Sports Centre Cafe (2012)"
54 FOXBAR RD,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68575,-79.40059000000001,Yonge-St.Clair (97),The Bradgate Arms (2012)
55 ST CLAIR AVE W,3,3,3,2,2,4,3,0,4,1,0,2,1,8,1.33333,4,0.33333,1,43.68725,-79.39684,Yonge-St.Clair (97),"Absolute Restaurant (2012), Jaspers Deli (2012), La Stella (2014), Pasta Mondo (2017), Prime Tobacco And Gifts (2012), Shawarma Q (2014), Tim Hortons (2017)"
561 AVENUE RD,1,1,0,0,0,0,1,0,1,0,0,0,1,2,0.33333,1,0.33333,0,43.68784,-79.40137,Yonge-St.Clair (97),Bistro Five61 (2012)
7 WALKER AVE,1,2,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,2,0.16667,0,43.6827,-79.39213000000001,Yonge-St.Clair (97),"Asahi Sushi (2012), Kibo Summerhill (2013)"
78 ST CLAIR AVE W,1,0,1,1,1,0,1,1,1,0,0,1,1,4,0.66667,1,0.66667,0,43.687529999999995,-79.39803,Yonge-St.Clair (97),Macs Convenience (2012)
95 ST CLAIR AVE W,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.33333,1,0.33333,0,43.68677,-79.39832,Yonge-St.Clair (97),Starbucks Coffee (2014)
1 DE BOERS DR,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0.33333,1,0.33333,0,43.75123,-79.46410999999999,York University Heights (27),Cafe By Kwin (2016)
1 TORO RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.759679999999996,-79.48975,York University Heights (27),Nino Daversa (2012)
1 WHITEHORSE RD,1,1,0,0,1,1,1,0,1,0,1,2,0,4,0.66667,1,0.66667,0,43.7552,-79.46876999999999,York University Heights (27),"Home Sweet Home (2017), Olioe Braci Catering And Eatery (2016), White Horse Restaurant And Cafe (2012)"
100 MARTIN ROSS AVE,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.773709999999994,-79.47756,York University Heights (27),Stephano Group Ltd. (2012)
1000 FINCH AVE W,3,4,3,3,3,3,3,1,1,0,0,2,0,4,0.66667,4,0.16667,1,43.76914,-79.46865,York University Heights (27),"Amitie Cafe (2017), Mr. Greek (2012), National Restaurant (2013), National Restaurant And Banquet Hall (2012), Tlc Cafe (2012)"
1000 MURRAY ROSS PKWY,1,2,2,2,2,2,2,1,0,2,0,0,0,3,0.5,2,0.25,0,43.77478,-79.51804,York University Heights (27),"Gift Shop And Cafe (2015), Halfway House Restaurant (2013), Pioneer Village Restaurant (2012)"
101 TORO RD,3,3,3,3,3,2,1,0,0,0,0,1,1,2,0.33333,3,0.11110999999999999,1,43.76137,-79.48255,York University Heights (27),"A Bis Gourmet (2012), Grand Ten Foods Ltd (2012), Ikquid (2012)"
1011 FINCH AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.76815,-79.46844,York University Heights (27),Thai Basil Garden (2012)
1025 FINCH AVE W,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.76795,-79.46915,York University Heights (27),Radiance Restaurant And Banquet Hall (2012)
1027 FINCH AVE W,6,5,6,6,6,6,4,1,1,0,0,0,2,4,0.66667,6,0.11110999999999999,1,43.767340000000004,-79.46983,York University Heights (27),"Downsview Variety (2012), Mandarin Restaurant (2012), Olympic Nutrition (2012), Pita Paradise (2012), Red Square Restaurant (2012), Subway (2012)"
1046 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.76798,-79.47182,York University Heights (27),Wraps And Jerk (2012)
1048 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.76797,-79.47185,York University Heights (27),San Francesco Foods (2012)
105 THE POND RD,0,0,0,0,0,6,9,0,0,0,0,6,3,9,1.5,9,0.16667,1,43.77005,-79.50239,York University Heights (27),"Aroma Espresso Bar (2017), Basil Box   York U (2017), Booster Juice (2017), Fat Bastard Burrito (2018), Gateway On The Go (2018), M2Go Yorku (2017), San Francesco (2017), Subway (2018), Sushi Q (2017)"
1052 FINCH AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.76795,-79.47193,York University Heights (27),Finch Alness Variety (2012)
1054 FINCH AVE W,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.76795,-79.47196,York University Heights (27),"Euro Shawarma (2018), Noodle On Finch (2012)"
1060 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.767920000000004,-79.47207,York University Heights (27),Tim Hortons (2012)
109 DOLOMITE DR,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.779709999999994,-79.47182,York University Heights (27),Premier Herbal (2012)
11 KODIAK CRES,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.75331,-79.46562,York University Heights (27),Bunch Of Fun Playland (2015)
1101 FINCH AVE W,2,1,1,1,2,2,2,1,2,0,1,2,0,6,1.0,2,0.5,0,43.76729,-79.47075,York University Heights (27),"A Rang Sushi And Grill (2012), Gigi Burger (2017), Hansik Korea (2014), Mr Sub (2012), Shah Grill Kabob (2016)"
1107 FINCH AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.7671,-79.47288,York University Heights (27),La Liga (2015)
111 MARTIN ROSS AVE,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.772690000000004,-79.47751,York University Heights (27),"Pelmen Perogies (2012), World Wide Meats (2012)"
1110 FINCH AVE W,3,1,0,0,0,0,1,2,1,0,0,0,1,4,0.66667,3,0.22221999999999997,1,43.768240000000006,-79.47426,York University Heights (27),"Golden Griddle Family Restaurant (2012), Kitimai Tea And Coffee Inc. (2012), Sunflour Bake House (2012), Taj Restaurant (2018)"
1111 FINCH AVE W,2,2,3,2,5,3,2,0,1,1,3,4,1,10,1.66667,5,0.33333,1,43.76595,-79.47393000000001,York University Heights (27),"Benci (2016), Bliss (2012), Green Angel Foods (2016), Shockingly Healthy (2016), The Vegan Broker (2017), Tonica Kombucha (2014), Tonys Cafe And Grill (2012)"
1115 FINCH AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.76627,-79.47622,York University Heights (27),Starbucks Coffee (2015)
1115 LODESTAR RD,3,3,3,0,0,0,0,2,0,3,0,0,0,5,0.8333299999999999,3,0.27778,1,43.75922,-79.46632,York University Heights (27),"Anoush Middle Eastern Cuisine (2012), Shoppers Drug Mart (2012), Wild Wing (2012), Wing Hub (2013)"
1118 FINCH AVE W,1,1,1,1,2,2,2,0,0,0,1,0,0,1,0.16667,2,0.08333,0,43.76758,-79.47509000000001,York University Heights (27),"Georgia Restaurant (2012), Pita Ikram (2016)"
1120 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.76835,-79.4753,York University Heights (27),Country Style Cafe (2012)
1123 LODESTAR RD,1,1,1,1,2,2,2,0,0,0,1,0,0,1,0.16667,2,0.08333,0,43.75969,-79.46545,York University Heights (27),"Subway (2012), Sunset Grill (2016)"
1126 FINCH AVE W,3,3,3,3,4,3,2,0,0,0,1,1,1,3,0.5,4,0.125,1,43.768,-79.47601999999999,York University Heights (27),"Dumpling King (2016), Elite Grande Restaurant And Banquet Hall (2012), G J Restaurant (2012), Napoleon Bakery (2012)"
1138 SHEPPARD AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.752359999999996,-79.46719,York University Heights (27),Esso (2012)
1140 SHEPPARD AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.75362,-79.46736,York University Heights (27),Pasta Co (2012)
1150 SHEPPARD AVE W,2,2,2,2,2,2,2,0,0,0,0,0,2,2,0.33333,2,0.16667,0,43.754290000000005,-79.46854,York University Heights (27),"Almost Perfect (2012), Antioch Foods (2018), Baba Ganoush Shawarma (2012)"
