name,address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018
2 4 1 PIZZA,451 PARLIAMENT ST,1,1,1,1,0,0,0,0,0,0,1,0,0
2 4 1 PIZZA,4909 DUNDAS ST W,1,1,1,1,1,1,0,0,0,0,0,0,1
2 4 1 PIZZA,5790 SHEPPARD AVE E,1,0,0,0,0,0,0,1,0,0,0,0,0
2 4 1 PIZZA,759 JANE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA #37,1055 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
2 BROS CUISINE,1500 ROYAL YORK RD,0,0,1,1,1,1,1,0,1,0,0,0,0
2 BROS CUISINE,1549 BAYVIEW AVE,0,0,0,0,0,1,1,0,0,0,0,1,0
2 CATS COCKTAIL LOUNGE,569 KING ST W,1,1,1,1,1,1,0,0,0,0,0,0,1
2 GUYS AND A GRILL,4646 DUFFERIN ST,0,1,0,0,0,0,0,1,1,0,0,0,0
2 JERKS SOUL LOUNGE,773 WARDEN AVE,0,1,0,0,0,0,0,1,1,0,0,0,0
2 OR 3 PIZZA AND WINGS,2382 LAKE SHORE BLVD W,1,1,1,1,1,1,1,0,0,0,0,0,0
2 Q VIDEO,830 BLOOR ST W,1,1,1,0,0,0,0,0,0,1,0,0,0
20 DONER BAR GRILL,1215 WESTON RD,0,0,0,0,0,1,0,0,0,0,0,1,1
21 SEVEN MARKET,1000 BLOOR ST W,1,0,1,1,0,0,0,1,1,0,1,0,0
2257029 ONTARIO INC.,235 QUEENS QUAY  W,1,1,0,0,0,0,0,0,1,0,0,0,0
227 LOUNGE,137 CITY VIEW DR,1,1,1,0,0,0,0,0,0,1,0,0,0
241 PIZZA,1 YORK GATE BLVD,0,0,0,0,0,0,1,0,0,0,0,0,1
241 PIZZA,122 DUNDAS ST E,1,1,1,0,0,0,0,0,0,1,0,0,0
241 PIZZA,1349 ST CLAIR AVE W,0,0,0,0,0,1,1,0,0,0,0,1,0
241 PIZZA,2318 DANFORTH AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
241 PIZZA,2834 VICTORIA PARK AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
241 PIZZA,451 PARLIAMENT ST,0,0,0,0,0,1,1,0,0,0,0,1,0
241 PIZZA\/CAPTN SUB,142 PARLIAMENT ST,0,0,0,0,1,1,1,0,0,0,1,0,0
244 PIZZA AND WINGS,1166 WESTON RD,1,1,1,1,1,1,1,0,0,0,0,0,0
247 CONVENIENCE,1153 QUEEN ST W,0,0,1,1,0,0,0,0,1,0,1,0,0
247 CONVENIENCE,1181 QUEEN ST W,1,0,0,0,0,0,0,1,0,0,0,0,0
25 LIBERTY,25 LIBERTY ST,1,1,0,0,0,0,0,0,1,0,0,0,0
259 HOST,259 WELLINGTON ST W,1,1,1,1,1,0,0,0,0,0,0,1,0
2U4U EXPRESS MARKET (FINCH MARKET),15 FINCH AVE W,0,0,1,0,0,0,0,0,1,1,0,0,0
3 BRASSEURS,2 LIBERTY ST,0,0,0,0,0,1,1,0,0,0,0,1,0
3 BREWERS,120 ADELAIDE ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
3 EGGS ALL DAY PUB AND GRILL,936 EGLINTON AVE W,0,0,0,0,0,1,1,0,0,0,0,1,0
3 JIT VARIETY,1452 BLOOR ST W,1,1,1,1,0,0,0,0,0,0,1,0,0
3 KINGS INC.,45 FOUR WINDS DR,0,1,1,0,0,0,0,1,0,1,0,0,0
30 UP CLUB,22 DORCHESTER AVE,0,0,0,0,0,1,1,0,0,0,0,1,0
3030,3030 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
31 KITCHEN,10 RAVEL RD,1,1,1,1,1,1,1,0,0,0,0,0,0
32 CHICKEN ST,409 COLLEGE ST,0,0,0,0,0,0,1,0,0,0,0,0,1
338 VEGETABLE AND FRUIT,631 GERRARD ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
341 PIZZA AND WINGS,45 FOUR WINDS DR,1,1,1,0,0,0,0,0,0,1,0,0,0
3JS MILK AND VARIETY,2987 ISLINGTON AVE,0,1,1,1,1,1,0,1,0,0,0,0,1
3JS MILK AND VARIETY,2993 ISLINGTON AVE,0,0,0,0,0,1,0,0,0,0,0,1,1
3PM DELIGHTS CAKERY,8 GLEN WATFORD DR,0,0,0,0,0,1,1,0,0,0,0,1,0
3SK CAFE,1054 EGLINTON AVE W,0,0,0,0,0,1,1,0,0,0,0,1,0
4 F PANCITERIA,3022 BATHURST ST,0,0,0,1,1,0,0,0,0,1,0,1,0
4 LIFE NATURAL FOOD,210 AUGUSTA AVE,0,0,0,1,1,1,1,0,0,1,0,0,0
4 LIFE NATURAL FOOD,257 AUGUSTA AVE,0,1,0,0,0,0,0,1,1,0,0,0,0
4 SEASON FARMS,1095 O'CONNOR DR,1,1,0,0,0,0,0,0,1,0,0,0,0
4 SEASON FARMS,1095 OCONNOR DR,0,0,1,1,1,1,1,0,1,0,0,0,0
4 U 2 SHAWARMA AND STEAK,2367 KINGSTON RD,0,0,0,0,0,0,1,0,0,0,0,0,1
416 COMMUNITY SUPPORT FOR WOMEN,416 DUNDAS ST E,0,0,0,0,0,1,1,0,0,0,0,1,0
416 DROP IN CENTRE,416 DUNDAS ST E,1,1,1,1,1,0,0,0,0,0,0,1,0
416 SNACK BAR,181 BATHURST ST,1,1,1,1,1,1,1,0,0,0,0,0,0
417,411 DANFORTH AVE,1,1,0,0,0,0,0,0,1,0,0,0,0
420 SMOKEHOUSE,420 PARLIAMENT ST,0,0,1,1,1,0,0,0,1,0,0,1,0
450 MINIMART,450 PARLIAMENT ST,1,1,1,1,1,1,1,0,0,0,0,0,0
4C,1758 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
4C BROAST CHICKEN,1093 OCONNOR DR,0,0,0,1,1,1,1,0,0,1,0,0,0
4ORKS,4524 KINGSTON RD,0,0,0,0,1,0,0,0,0,0,1,1,0
4U MILK VARIETY,2987 ISLINGTON AVE,0,0,0,0,0,1,0,0,0,0,0,1,1
5  POINTS BAR AND GRILL,636 VAUGHAN RD,0,0,0,1,1,1,1,0,0,1,0,0,0
5 AND DIME CONVENIENCE,1269 DANFORTH RD,0,1,0,0,0,0,0,1,1,0,0,0,0
5 DE MAYO MEXICAN CUISINE,1353 ST CLAIR AVE W,0,0,1,1,0,0,0,0,1,0,1,0,0
5 ELEMENTS ESPRESSO BAR,131 AVENUE RD,0,0,0,1,1,1,1,0,0,1,0,0,0
5 SPICE DINING,2826 MARKHAM RD,0,0,0,0,0,1,1,0,0,0,0,1,0
5 STAR HALAL PIZZA INC.,2879 LAWRENCE AVE E,0,0,1,0,0,0,0,0,1,1,0,0,0
5 STAR PIZZA,2879 LAWRENCE AVE E,0,0,0,1,1,0,0,0,0,1,0,1,0
5000 YONGE CAFE,5000 YONGE ST,0,0,1,1,0,0,0,0,1,0,1,0,0
519 COMMUNITY CENTRE,519 CHURCH ST,1,1,1,0,0,0,0,0,0,1,0,0,0
519 COMMUNITY KITCHEN,519 CHURCH ST,0,0,0,0,1,1,1,0,0,0,1,0,0
521 CAFE,521 DANFORTH AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
55 CAFE,6 DIXON RD,1,1,1,1,1,0,0,0,0,0,0,1,0
55 DIVISION LUNCH ROOM,101 COXWELL AVE,1,0,0,0,0,0,0,1,0,0,0,0,0
5N2 FOODS (GLOBAL KINGDOM MINISTRIES),1250 MARKHAM RD,0,0,1,1,1,1,0,0,1,0,0,0,1
5TH ELEMENTT,506 QUEEN ST W,1,1,1,0,0,0,0,0,0,1,0,0,0
649 MEGA CONVENIENCE,5651 STEELES AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1
649 YONG ALBION CONVENIENCE,900 ALBION RD,1,1,1,1,1,1,1,0,0,0,0,0,0
650 CAFE BISTRO,650 BAY ST,0,0,1,1,0,0,0,0,1,0,1,0,0
682 WARDEN AVENUE COMMUNITY KITCHEN,682 WARDEN AVE,0,0,1,1,1,1,1,0,1,0,0,0,0
7 BAKER,3 WELLESLEY ST W,0,0,0,0,0,0,1,0,0,0,0,0,1
7 DAY CONVENIENCE,2480 GERRARD ST E,0,0,0,1,1,1,1,0,0,1,0,0,0
7 DAY CONVENIENCE,3228 WESTON RD,1,1,1,1,1,1,0,0,0,0,0,0,1
7 DAYS CONVENIENCE,669 BLOOR ST W,0,1,1,1,1,1,1,1,0,0,0,0,0
7 DAYS VARIETY,808 PAPE AVE,1,0,0,0,0,0,0,1,0,0,0,0,0
7 DIM SUM,867 DANFORTH AVE,0,0,0,1,1,0,0,0,0,1,0,1,0
7 ELEVEN,1 CARLTON ST,0,1,1,1,1,1,1,1,0,0,0,0,0
7 ELEVEN,1 EGLINTON AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,1033 BAY ST,0,1,1,1,1,1,1,1,0,0,0,0,0
7 ELEVEN,1151 QUEEN ST E,1,1,1,0,0,0,0,0,0,1,0,0,0
7 ELEVEN,1169 ST CLAIR AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,1260 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,1390 WESTON RD,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,1718 WILSON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,1730 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,2480 LAKE SHORE BLVD W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,260 COLLEGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,310 OCONNOR DR,0,1,1,1,1,0,0,1,0,0,0,1,0
7 ELEVEN,3260 LAKE SHORE BLVD W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,334 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,3355 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,3587 BATHURST ST,0,0,1,1,1,1,1,0,1,0,0,0,0
7 ELEVEN,3657 LAKE SHORE BLVD W,1,1,1,1,1,1,0,0,0,0,0,0,1
7 ELEVEN,372 BAY ST,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,4806 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0
7 ELEVEN,682 YONGE ST,0,0,1,1,1,0,0,0,1,0,0,1,0
7 ELEVEN,873 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,883 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN,975 DANFORTH AVE,1,1,1,1,0,0,0,0,0,0,1,0,0
7 ELEVEN,980 ISLINGTON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
7 ELEVEN CANADA,328 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
7 NUMBERS,307 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
7 NUMBERS EGLINTON,516 EGLINTON AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1
