name,address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018
BUBBLICIOUS,372 YONGE ST,0,0,1,0,0,0,0,0,1,1,0,0,0
BUBBYS BAGELS,3035 BATHURST ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BUCA,55 SCOLLARD ST,0,0,1,1,1,1,1,0,1,0,0,0,0
BUCA,604 KING ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUDA CAFE RESTAURANT,5418 YONGE ST,0,0,1,1,0,0,0,0,1,0,1,0,0
BUDA HOUSE,5418 YONGE ST,0,0,0,0,1,0,0,0,0,0,1,1,0
BUDAPEST,1708 EGLINTON AVE W,0,0,0,0,1,0,0,0,0,0,1,1,0
BUDAPEST RESTAURANT,1959 GERRARD ST E,0,0,0,1,1,1,1,0,0,1,0,0,0
BUDDHA CHAY,1784 JANE ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BUDDHA PIE,514 ANNETTE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BUDDHAS VEGETARIAN FOODS,666 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUDDIES IN BAD TIMES THEATRE,12 ALEXANDER ST,0,0,1,1,1,1,0,0,1,0,0,0,1
BUDDY HONG KONG CAFE,2950 BIRCHMOUNT RD,0,1,1,1,0,0,0,1,0,0,1,0,0
BUDDYS PUB AND RESTAURNT,1347 DANFORTH RD,0,0,0,0,0,0,1,0,0,0,0,0,1
BUDS COFFEE,1966 QUEEN ST E,0,0,0,0,0,0,1,0,0,0,0,0,1
BUDS COFFEE BAR,1934 QUEEN ST E,0,0,1,1,1,0,0,0,1,0,0,1,0
BUGAJNY MEAT PRODUCTS,28 EDDYSTONE AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BUGIGATTOLO,54 FRASER AVE,0,0,0,1,1,0,0,0,0,1,0,1,0
BUK CHANG DONG SOON TOFU,691 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUK CHANG DONG SOON TOFU   II,5445 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BUK CHANG DONGSOON TOFU   DUNDAS,478 DUNDAS ST W,0,1,0,0,0,0,0,1,1,0,0,0,0
BUKHARA GRILL,2241 BLOOR ST W,0,1,1,1,1,1,1,1,0,0,0,0,0
BULAKENA TAKE OUT FOODS,3525 BATHURST ST,1,1,0,0,0,0,0,0,1,0,0,0,0
BULAKENYOS FILIPINO CUISINE,3331 MARKHAM RD,0,0,0,0,1,1,1,0,0,0,1,0,0
BULGOGII HOUSE,39 SPRING GARDEN AVE,1,1,1,1,0,0,0,0,0,0,1,0,0
BULK BARGAINS,31 TAPSCOTT RD,1,1,1,1,0,0,0,0,0,0,1,0,0
BULK BARN,1144 ROYAL YORK RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BULK BARN,120 FRONT ST E,0,1,1,1,1,1,1,1,0,0,0,0,0
BULK BARN,17 LESLIE ST,1,0,0,0,0,0,0,1,0,0,0,0,0
BULK BARN,171 EAST LIBERTY ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BULK BARN,1880 EGLINTON AVE E,1,1,1,1,1,1,0,0,0,0,0,0,1
BULK BARN,2 CARLTON ST,0,0,1,1,1,0,0,0,1,0,0,1,0
BULK BARN,213 DANFORTH AVE,0,1,1,1,1,1,0,1,0,0,0,0,1
BULK BARN,2290 BLOOR ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
BULK BARN,2625 WESTON RD,0,1,1,1,1,1,1,1,0,0,0,0,0
BULK BARN,30 WESTON RD,0,0,1,1,1,1,1,0,1,0,0,0,0
BULK BARN,300 BOROUGH DR,0,1,1,1,0,0,0,1,0,0,1,0,0
BULK BARN,3809 SHEPPARD AVE E,0,0,0,0,0,1,0,0,0,0,0,1,1
BULK BARN,393 KING ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
BULK BARN,4525 KINGSTON RD,1,1,1,1,1,1,0,0,0,0,0,0,1
BULK BARN,500 REXDALE BLVD,1,1,1,1,1,1,0,0,0,0,0,0,1
BULK BARN,503 BLOOR ST W,0,0,0,1,1,1,1,0,0,1,0,0,0
BULK BARN,5230 DUNDAS ST W,0,1,1,1,1,1,0,1,0,0,0,0,1
BULK BARN,81 GERRY FITZGERALD DR,1,1,1,1,1,1,1,0,0,0,0,0,0
BULK BARN,91 LAIRD DR,1,1,1,1,1,1,1,0,0,0,0,0,0
BULK BARN 565,2422 KINGSTON RD,0,0,0,1,1,1,1,0,0,1,0,0,0
BULK CITY,3040 DON MILLS RD,1,1,1,0,0,0,0,0,0,1,0,0,0
BULK FOOD,2900 WARDEN AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BULK FOOD CENTRE,3850 SHEPPARD AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1
BULK FOOD CONNOISSEUR,5855 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0
BULK FOOD MART,1 YORK GATE BLVD,0,0,0,0,1,1,1,0,0,0,1,0,0
BULK FOOD STOP,2900 WARDEN AVE,1,1,1,1,1,0,0,0,0,0,0,1,0
BULK FOOD WAREHOUSE,1621 WILSON AVE,1,1,0,0,0,0,0,0,1,0,0,0,0
BULK HEAVEN,1571 SANDHURST CRCL,0,0,0,0,0,1,0,0,0,0,0,1,1
BULK HEAVEN,609 DANFORTH AVE,0,0,0,0,1,1,1,0,0,0,1,0,0
BULK MINE,655 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0
BULK N BITS,250 THE EAST MALL,1,1,1,1,1,1,0,0,0,0,0,0,1
BULK VILLA,700 LAWRENCE AVE W,0,1,1,1,0,0,0,1,0,0,1,0,0
BULK VILLE,1530 ALBION RD,0,0,0,0,0,1,1,0,0,0,0,1,0
BULK VILLE,4841 YONGE ST,0,1,1,1,1,0,0,1,0,0,0,1,0
BULL AND FIRKIN,1835 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BULL DOG COFFEE,89 GRANBY ST,1,0,0,0,0,0,0,1,0,0,0,0,0
BULL DOG ON THE BLOCK,86 GERRARD ST E,0,0,1,1,1,0,0,0,1,0,0,1,0
BULLDOG COFFEE,55 EGLINTON AVE E,0,1,0,0,0,0,0,1,1,0,0,0,0
BULLOCKS VALU  MART,123 GUILDWOOD PKWY,0,0,0,0,1,0,0,0,0,0,1,1,0
BUMPERCORP,941 PROGRESS AVE,0,1,0,0,0,0,0,1,1,0,0,0,0
BUMPKINS,21 GLOUCESTER ST,1,1,1,1,0,0,0,0,0,0,1,0,0
BUMPKINS RESTAURANT,21 GLOUCESTER ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BUN AND BEAN CAFE,876 WESTON RD,0,1,1,0,0,0,0,1,0,1,0,0,0
BUN BO HUE PHO,2385 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUN KING BAKERY,11 WESTMORE DR,1,1,1,1,1,1,1,0,0,0,0,0,0
BUN KING BAKERY,3003 DANFORTH AVE,1,1,1,0,0,0,0,0,0,1,0,0,0
BUN KING BAKERY,31 LAPSLEY RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BUN SAIGON,252 SPADINA AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BUNA THE SOUL OF COFFEE,1176 QUEEN ST W,0,0,0,0,1,1,1,0,0,0,1,0,0
BUNAS KITCHEN,388 RICHMOND ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
BUNCH OF FUN PLAYLAND,11 KODIAK CRES,0,0,0,1,1,1,1,0,0,1,0,0,0
BUNDA LOUNGE,1108 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUNNERS,3054 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUNNERS BAKE SHOP,244 AUGUSTA AVE,0,0,1,1,1,1,1,0,1,0,0,0,0
BUNTON LODGE   SALVATION ARMY,422 SHERBOURNE ST,0,0,1,1,1,1,1,0,1,0,0,0,0
BUNTON LODGE SALVATION ARMY.,432 SHERBOURNE ST,0,0,1,1,1,1,1,0,1,0,0,0,0
BUNZ URBAN CUISINE,707 DUNDAS ST W,0,0,1,0,0,0,0,0,1,1,0,0,0
BUON APPETITE FINE FOODS LIMITED,2764 VICTORIA PARK AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BUON APPETITO,685 LANSDOWNE AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BUON GIORNO CAFFE,1134 THE QUEENSWAY,1,1,1,1,1,1,1,0,0,0,0,0,0
BUONA NOTTE,19 MERCER ST,0,1,1,1,1,0,0,1,0,0,0,1,0
BUPPHA THAI RESTAURANT,110 QUEEN ST E,1,1,0,0,0,0,0,0,1,0,0,0,0
BURAK SUPERMARKET,3905 KEELE ST,1,0,0,0,0,0,0,1,0,0,0,0,0
BURAK SUPERMARKET,982 DANFORTH AVE,0,1,0,0,0,0,0,1,1,0,0,0,0
BURDOCK,1184 BLOOR ST W,0,0,0,1,1,1,1,0,0,1,0,0,0
BURGATORY,719 COLLEGE ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BURGER BOY,106 HUMBER COLLEGE BLVD,1,1,0,1,1,1,1,0,1,1,0,0,0
BURGER BRATS,254 ADELAIDE ST W,1,1,0,0,0,0,0,0,1,0,0,0,0
BURGER BRATS CAFE,254 ADELAIDE ST W,0,0,1,0,0,0,0,0,1,1,0,0,0
BURGER FACTORY,2030 ELLESMERE RD,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGER FACTORY,265 QUEEN ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
BURGER HUT,804 SHEPPARD AVE E,1,1,1,1,0,0,0,0,0,0,1,0,0
BURGER KING,10 EGLINTON AVE E,1,1,0,0,0,0,0,0,1,0,0,0,0
BURGER KING,100 EGLINTON SQ,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,106 FRONT ST E,0,0,1,1,1,0,0,0,1,0,0,1,0
BURGER KING,1077 WILSON AVE,0,0,0,0,1,1,1,0,0,0,1,0,0
BURGER KING,11 LESLIE ST,1,1,1,0,0,0,0,0,0,1,0,0,0
BURGER KING,1194 KING ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,1560 THE QUEENSWAY,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,1607 BIRCHMOUNT RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,1615 WILSON AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGER KING,200 WELLINGTON ST W,1,1,1,1,1,1,0,0,0,0,0,0,1
BURGER KING,2372 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,243 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,2571 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,267 COLLEGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,3003 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,3495 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,3850 SHEPPARD AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING,829 THE QUEENSWAY,1,1,1,0,0,0,0,0,0,1,0,0,0
BURGER KING HOME OF THE WHOPPER,940 LAWRENCE AVE W,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGER KING RESTAURANTS OF CANADA INC.,1077 WILSON AVE,1,1,1,1,0,0,0,0,0,0,1,0,0
BURGER KING RESTAURANTS OF CANADA INC.,1615 WILSON AVE,1,1,1,1,1,0,0,0,0,0,0,1,0
BURGER KING RESTAURANTS OF CANADA INC.,6630 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER KING RESTAURANTS OF CANADA INC.,940 LAWRENCE AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0
BURGER NATOR,269 AUGUSTA AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
BURGER PALACE,1004 KINGSTON RD,1,1,0,0,0,0,0,0,1,0,0,0,0
BURGER PALACE,2900 WARDEN AVE,1,1,1,0,1,0,0,0,0,1,1,1,0
BURGER SHACK,233 EGLINTON AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0
BURGER SHAWARMA,1011 DUFFERIN ST,0,0,0,1,1,0,0,0,0,1,0,1,0
BURGER SHOPPE,688 QUEEN ST E,0,1,1,1,1,1,1,1,0,0,0,0,0
BURGER SHOPPE QUALITY MEATS,210 OSSINGTON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGER STOMPER,364 DANFORTH AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BURGERS AND FRIES TOWN,229 CHURCH ST,1,1,0,0,0,0,0,0,1,0,0,0,0
BURGERS N FRIES FOREVER,182 OSSINGTON AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGERS PARK,229 CONSUMERS RD,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGS BAR AND GRILL,730 YONGE ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BURGUNDY BAR AND LOUNGE,5 BETHRIDGE RD,0,0,0,0,0,0,1,0,0,0,0,0,1
BURGUNDYS,730 YONGE ST,0,0,0,1,0,0,0,0,0,1,1,0,0
BURGUNDYS,780 YONGE ST,1,1,1,1,0,0,0,0,0,0,1,0,0
BURNHAMTHORPE VARIETY STORE,666 BURNHAMTHORPE RD,1,1,1,0,0,0,0,0,0,1,0,0,0
BURNVIEW DRUGS,3225 LAWRENCE AVE E,0,1,1,1,1,0,0,1,0,0,0,1,0
BURO 53,53 BLOOR ST E,0,0,0,0,0,1,1,0,0,0,0,1,0
BURRITO BANDIDOS,120 PETER ST,1,1,1,0,0,0,0,0,0,1,0,0,0
BURRITO BANDIDOS,1614 QUEEN ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BANDIDOS,362 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BANDIDOS,496 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BOSS,359 MARLEE AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BURRITO BOYS,5314 YONGE ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BURRITO BOYZ,1197 THE QUEENSWAY,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BOYZ,1736 QUEEN ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
BURRITO BOYZ,1961 KENNEDY RD,0,0,0,1,1,1,1,0,0,1,0,0,0
BURRITO BOYZ,21 JUTLAND RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BOYZ,218 ADELAIDE ST W,1,1,1,1,0,0,0,0,0,0,1,0,0
BURRITO BOYZ,224 ADELAIDE ST W,0,0,0,1,1,1,1,0,0,1,0,0,0
BURRITO BOYZ,3803 LAKE SHORE BLVD W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BOYZ,5314 YONGE ST,0,0,1,1,0,0,0,0,1,0,1,0,0
BURRITO BOYZ,575 COLLEGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRITO BOYZ,74 DUNDAS ST E,0,0,0,1,1,1,1,0,0,1,0,0,0
BURRITO BOYZ,789 WARDEN AVE,0,0,1,1,1,1,1,0,1,0,0,0,0
BURRITO BURRITO,171 EAST LIBERTY ST,1,1,1,1,0,0,0,0,0,0,1,0,0
BURRITO CALIENTE LATIN GRILL,5555 EGLINTON AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0
BURRITO PLACE,5653 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0
BURRITO PLANET,181 COLLEGE ST,1,1,1,0,0,0,0,0,0,1,0,0,0
BURRITO ZONE,2030 ELLESMERE RD,0,0,0,0,1,0,0,0,0,0,1,1,0
BURRITO ZONE,2871 EGLINTON AVE E,0,0,0,0,0,1,0,0,0,0,0,1,1
BURRO BURRITO,388 RICHMOND ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BURRO BURRITO,653 COLLEGE ST,0,0,0,1,1,0,0,0,0,1,0,1,0
BURRO BURRITO,655 COLLEGE ST,1,1,1,0,0,0,0,0,0,1,0,0,0
BURROWS HALL (COMMUNITY),1081 PROGRESS AVE,1,1,1,1,1,1,0,0,0,0,0,0,1
BUS TERMINAL RESTAURANT,1606 DANFORTH AVE,0,1,1,0,0,0,0,1,0,1,0,0,0
BUSTER RHINO AUTHENTIC SOUTHERN BBQ,838 COLLEGE ST,0,0,0,1,0,0,0,0,0,1,1,0,0
BUSTERS FISH HOUSE,3747 LAKE SHORE BLVD W,0,1,1,1,1,1,1,1,0,0,0,0,0
BUSTERS RESTAURANT,1539 KINGSTON RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BUSTERS SEA COVE,199 BAY ST,0,0,0,0,0,1,1,0,0,0,0,1,0
BUSTERS SEA COVE,91 FRONT ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
BUSY BEE,464 DAWES RD,1,1,0,0,0,0,0,0,1,0,0,0,0
BUSY BEE KING MART,677 KING ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUSY BEES,1712 DANFORTH AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
BUT N BEN BUTCHER,1601 ELLESMERE RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BUTA RESTAURANT,586 CHAMPAGNE DR,0,1,0,0,0,0,0,1,1,0,0,0,0
BUTCHER BY NATURE,515 ANNETTE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BUTCHER SHOPPE,245 DIXON RD,0,0,1,1,1,1,0,0,1,0,0,0,1
BUTCHERS OF DISTINCTION,738 QUEEN ST E,0,1,1,1,1,1,1,1,0,0,0,0,0
BUTCHERY RICHTREE NATURAL MARKET RESTAURANTS,1 DUNDAS ST W,0,0,0,0,0,0,1,0,0,0,0,0,1
BUTCHUKOY KING,1311 KING ST W,0,0,0,1,1,0,0,0,0,1,0,1,0
BUTLERS PANTRY,591 MARKHAM ST,1,1,1,1,1,0,0,0,0,0,0,1,0
BUTTER AVENUE,477 QUEEN ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
BUTTER AVENUE PATISSERIE AND CAFE,3467 YONGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1
BUTTER BAKER,120 DUNDAS ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
BUTTER CHICKEN FACTORY,556 PARLIAMENT ST,1,1,1,1,1,1,1,0,0,0,0,0,0
BUTTER CHICKEN ROTI,1030 BLOOR ST W,0,0,0,0,0,0,1,0,0,0,0,0,1
BUTTER CHICKEN ROTI,1076 QUEEN ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
BUTTER CHICKEN ROTI,398 COLLEGE ST,0,1,1,1,0,0,0,1,0,0,1,0,0
BUTTERFLY BAKERY,492 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BUTTERNUT BAKING CO,2743 DUNDAS ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
BUY ONE SET ONE FREE PIZZA,1168 ALBION RD,0,1,0,0,0,0,0,1,1,0,0,0,0
BUZZ BUZZ PIZZA,822 WILSON AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
BY JEN AND JAN INC.,16 SHEFFIELD ST,0,0,0,0,1,1,1,0,0,0,1,0,0
BY THE SLICE,861 YORK MILLS RD,1,1,1,1,1,1,1,0,0,0,0,0,0
BY THE WAY CAFE,400 BLOOR ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BYBLOS,11 ED MIRVISH WAY,0,0,1,1,1,1,1,0,1,0,0,0,0
BYFORD DAIRY PRODUCTS LTD,141 DOLOMITE DR,1,1,1,1,1,1,0,0,0,0,0,0,1
BYMARK,66 WELLINGTON ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
BYWOODS,760 ST CLAIR AVE W,0,0,1,0,0,0,0,0,1,1,0,0,0
BYZANTIUM,499 CHURCH ST,1,1,1,1,1,0,0,0,0,0,0,1,0
C AND C HEALTH AND GIFTS DEPOT,19 MILLIKEN BLVD,0,0,1,0,0,0,0,0,1,1,0,0,0
C AND C SUPERMARKET,888 DON MILLS RD,0,0,0,0,0,0,1,0,0,0,0,0,1
C AND C TRADING,2347 KENNEDY RD,0,1,1,1,1,1,0,1,0,0,0,0,1
C AND C. VARIETY AND DOLLAR STORE,1372 ST CLAIR AVE W,1,1,0,0,0,0,0,0,1,0,0,0,0
C AND G SPORTS LOUNGE,363 COXWELL AVE,1,1,1,1,1,0,0,0,0,0,0,1,0
C AND L TEA HOUSE,109 MC CAUL ST,0,0,1,1,1,1,1,0,1,0,0,0,0
C BREEZE,2075 BAYVIEW AVE,0,1,1,1,0,0,0,1,0,0,1,0,0
C HOUSE LOUNGE CAFE,70 YORKVILLE AVE,1,1,0,0,0,0,0,0,1,0,0,0,0
C MARKET EUROPEAN DELI,1006 PAPE AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
C MART,2402 EGLINTON AVE W,0,1,1,0,0,0,0,1,0,1,0,0,0
C STORE,100 WYNFORD DR,0,1,1,1,1,0,0,1,0,0,0,1,0
C STORES,393 KING ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
C. GO MEAT TRADING INC.,38 THORNMOUNT DR,0,1,0,0,0,0,0,1,1,0,0,0,0
C.C. LOUNGE,45 FRONT ST E,0,0,1,1,1,1,1,0,1,0,0,0,0
C.I.C.S.,2330 MIDLAND AVE,0,1,1,1,1,1,0,1,0,0,0,0,1
C.J. BURGERS,1291 WILSON AVE,1,1,1,1,0,0,0,0,0,0,1,0,0
C4 CENTRE,2644 EGLINTON AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1
C5 RESTAURANT AND LOUNGE,100 QUEENS PARK,0,0,0,0,1,1,1,0,0,0,1,0,0
CABAL,782 KING ST W,0,1,1,1,0,0,0,1,0,0,1,0,0
CABANA POOL BAR,11 POLSON ST,0,1,1,1,0,0,0,1,0,0,1,0,0
CABANOS COMFORT FOOD,75 ST NICHOLAS ST,0,0,0,0,0,0,1,0,0,0,0,0,1
CABBAGE TOWN BREW,552 PARLIAMENT ST,1,1,1,1,1,0,0,0,0,0,0,1,0
CABBAGE TOWN KITCHEN,292 WELLESLEY ST E,1,1,0,0,0,0,0,0,1,0,0,0,0
CABBAGE TOWN ORGANICS,499 PARLIAMENT ST,1,1,1,1,1,1,1,0,0,0,0,0,0
CABBAGETOWN MINI MART,464 PARLIAMENT ST,1,0,0,0,0,0,0,1,0,0,0,0,0
CABIN FEVER,1669 BLOOR ST W,0,0,0,1,1,1,1,0,0,1,0,0,0
CABIN FEVER COLLECTIVE,1669 BLOOR ST W,0,1,1,1,0,0,0,1,0,0,1,0,0
CABOOSE COFFEE HOUSE,3333 DUNDAS ST W,0,1,1,1,1,0,0,1,0,0,0,1,0
CABREIRA MEATS,1301 ST CLAIR AVE W,0,0,0,0,0,0,1,0,0,0,0,0,1
CACAO 70,300 BOROUGH DR,0,0,0,0,0,0,1,0,0,0,0,0,1
CACAO 70,485 QUEEN ST W,0,0,0,0,1,1,1,0,0,0,1,0,0
CACAO 70,55 MILL ST,0,0,0,0,1,1,1,0,0,0,1,0,0
CACTUS,1911 FINCH AVE W,0,1,1,1,1,1,1,1,0,0,0,0,0
CACTUS CLUB CAFE,100 KING ST W,0,0,0,1,1,1,1,0,0,1,0,0,0
CACTUS CLUB CAFE,25 THE WEST MALL,0,0,0,0,0,0,1,0,0,0,0,0,1
CACTUS KABOB,1 EGLINTON SQ,0,0,0,0,1,0,0,0,0,0,1,1,0
CADDYS,2787 EGLINTON AVE E,1,1,1,1,0,0,0,0,0,0,1,0,0
CADILLAC JENKINS,930 QUEEN ST W,0,0,0,0,0,1,0,0,0,0,0,1,1
CADILLAC LOUNGE,1296 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE  NATURALIS  INC,2198 QUEEN ST E,0,0,0,0,0,0,1,0,0,0,0,0,1
CAFE 260,260 RICHMOND ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE 43,43 WELLESLEY ST E,1,1,1,1,1,0,0,0,0,0,0,1,0
CAFE 500,901 LAWRENCE AVE W,0,0,1,1,1,1,1,0,1,0,0,0,0
CAFE 512,1376 ST CLAIR AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE 513,513 MARLEE AVE,0,1,1,1,0,1,0,1,0,0,1,1,1
CAFE 668,885 DUNDAS ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE 73,45 FOUR WINDS DR,0,0,0,0,0,0,1,0,0,0,0,0,1
CAFE ARBIA,113 BOND ST,0,0,0,1,0,0,0,0,0,1,1,0,0
CAFE ARC DE TRIOMPHE,5813 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0
CAFE ARTS,627 QUEEN ST W,1,1,0,0,0,0,0,0,1,0,0,0,0
CAFE AVACADO,773 WARDEN AVE,0,1,0,0,0,0,0,1,1,0,0,0,0
CAFE BACCIO,95 CUMBERLAND ST,1,1,0,0,0,0,0,0,1,0,0,0,0
CAFE BAR PASTA,1588 DUNDAS ST W,0,1,1,1,0,0,0,1,0,0,1,0,0
CAFE BELONG,550 BAYVIEW AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE BENE,5519 YONGE ST,0,1,1,1,1,0,0,1,0,0,0,1,0
CAFE BERNATE,1024 QUEEN ST W,1,1,1,0,0,0,0,0,0,1,0,0,0
CAFE BON APPETIT,44 BLOOR ST E,1,1,1,1,1,0,0,0,0,0,0,1,0
CAFE BORA,87 YORKVILLE AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
CAFE BOULUD,60 YORKVILLE AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
CAFE BRUNCH STORY,874 EGLINTON AVE E,0,0,0,0,0,0,1,0,0,0,0,0,1
CAFE BY KWIN,1 DE BOERS DR,0,0,0,0,1,0,0,0,0,0,1,1,0
CAFE CALIFORNIA,538 CHURCH ST,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE CANCAN,89 HARBORD ST,0,0,0,0,0,1,1,0,0,0,0,1,0
CAFE CINQUECENTO,40 PLAYFAIR AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
CAFE COCORO,1989 DANFORTH AVE,0,0,0,0,0,1,1,0,0,0,0,1,0
CAFE CON LECHE,1571 DUPONT ST,1,1,1,1,1,0,1,0,0,0,0,1,1
CAFE CONNECTS,325 MILNER AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE CRANBERRIES,363 WINDERMERE AVE,1,1,0,0,0,0,0,0,1,0,0,0,0
CAFE CRANBERRIES,390 PACIFIC AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE CREPE,246 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
CAFE D TAJ,3342 DANFORTH AVE,0,0,0,1,1,1,1,0,0,1,0,0,0
CAFE DE MELBOURNE,193 CHURCH ST,0,0,0,1,1,1,0,0,0,1,0,0,1
CAFE DE PANS,4186 FINCH AVE E,0,0,0,0,1,0,0,0,0,0,1,1,0
CAFE DEJA VU,715 THE QUEENSWAY,0,0,1,0,0,0,0,0,1,1,0,0,0
CAFE DI ST. CLAIR,1022 ST CLAIR AVE W,0,1,0,0,0,0,0,1,1,0,0,0,0
CAFE DINAH E,124 EGLINTON AVE W,0,0,0,0,1,1,1,0,0,0,1,0,0
CAFE DINAH E.,124 EGLINTON AVE W,1,1,1,1,0,0,0,0,0,0,1,0,0
CAFE DIPLOMATICO,594 COLLEGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
